MOISTURE,KNOT_RATIO,TREERING,E,DENSITY,BEAMHEIGHT,BENDING_STRENGTH,BENDING_STIFFNESS,
%,-,MM,N/MM2,KG/M3,CM,N/MM2,N/MM,
12.4,0.39,3.95,14738.0,566.0,103.0,38.82,3.9618279569892474,
11.9,0.46,2.9,10310.0,495.0,102.0,35.29,2.801630434782609,
11.9,0.12,3.83,11037.0,525.0,102.0,53.38,2.9991847826086957,
13.0,0.16,4.0,12591.0,470.0,102.0,57.88,3.421467391304348,
11.8,0.36,2.97,12782.0,536.0,103.0,41.11,3.436021505376344,
12.7,0.2,2.03,15171.0,508.0,104.0,71.64,4.034840425531915,
12.9,0.37,3.08,9778.0,465.0,103.0,30.87,2.628494623655914,
13.0,0.16,2.5,12208.0,540.0,104.0,57.96,3.246808510638298,
12.3,0.39,3.65,16410.0,564.0,101.0,55.05,4.508241758241758,
12.5,0.19,4.5,15219.0,511.0,99.0,72.11,4.275,
12.3,0.29,3.63,14257.0,530.0,101.0,67.93,3.9167582417582416,
12.6,0.09,4.43,13100.0,569.0,103.0,62.72,3.521505376344086,
11.8,0.18,4.0,14852.0,498.0,102.0,51.45,4.035869565217391,
12.3,0.13,5.84,13073.0,496.0,100.0,40.52,3.631388888888889,
13.5,0.06,2.39,14091.0,617.0,101.0,53.0,3.871153846153846,
12.9,0.46,2.05,19475.0,655.0,100.0,53.85,5.409722222222222,
12.7,0.43,3.63,14002.0,543.0,101.0,57.28,3.846703296703297,
11.9,0.23,2.54,11410.0,507.0,101.0,40.18,3.1346153846153846,
13.0,0.35,2.72,13088.0,490.0,193.0,31.18,1.7879781420765026,
13.1,0.3,2.98,17478.0,598.0,193.0,54.02,2.387704918032787,
13.2,0.44,3.22,15728.0,666.0,193.0,31.44,2.148633879781421,
14.3,0.09,3.78,16351.0,595.0,193.0,49.12,2.233743169398907,
14.1,0.27,2.58,17259.0,570.0,194.0,31.78,2.3449728260869565,
14.0,0.16,4.29,14733.0,555.0,193.0,52.82,2.012704918032787,
14.2,0.18,3.08,16040.0,684.0,193.0,55.01,2.191256830601093,
15.1,0.17,3.69,16461.0,628.0,193.0,50.89,2.2487704918032785,
14.7,0.19,2.85,18761.0,644.0,192.0,57.18,2.5770604395604395,
12.4,0.33,2.67,17336.0,605.0,193.0,36.07,2.3683060109289618,
14.6,0.27,3.14,15742.0,644.0,193.0,49.11,2.150546448087432,
15.4,0.24,3.33,19415.0,682.0,193.0,64.84,2.6523224043715845,
15.3,0.19,2.4,15873.0,617.0,193.0,31.35,2.1684426229508196,
13.4,0.5,2.37,13985.0,596.0,193.0,20.42,1.91051912568306,
15.3,0.45,2.79,15934.0,616.0,192.0,35.03,2.188736263736264,
15.3,0.22,4.11,14966.0,643.0,193.0,49.62,2.044535519125683,
14.8,0.3,3.04,13729.0,562.0,193.0,30.14,1.8755464480874318,
14.3,0.14,3.71,15969.0,591.0,193.0,43.46,2.1815573770491805,
14.5,0.28,5.42,12263.0,545.0,193.0,23.94,1.6752732240437158,
14.7,0.19,3.41,21654.0,716.0,193.0,75.49,2.9581967213114755,
14.0,0.31,4.5,11813.0,529.0,193.0,25.6,1.6137978142076503,
15.3,0.24,4.4,14934.0,602.0,193.0,47.46,2.0401639344262295,
16.0,0.24,4.08,15754.0,621.0,193.0,43.08,2.152185792349727,
15.0,0.33,3.78,16232.0,652.0,193.0,44.37,2.2174863387978143,
14.7,0.43,3.93,13977.0,675.0,192.0,42.47,1.9199175824175825,
15.3,0.39,3.02,16219.0,656.0,192.0,37.95,2.2278846153846152,
15.2,0.14,3.29,16604.0,623.0,192.0,34.73,2.2807692307692307,
15.1,0.11,3.07,17458.0,633.0,193.0,65.25,2.3849726775956284,
14.4,0.2,3.67,18451.0,695.0,192.0,57.06,2.534478021978022,
13.0,0.36,3.45,12456.0,553.0,193.0,36.06,1.701639344262295,
14.0,0.29,2.72,12797.0,478.0,193.0,36.76,1.748224043715847,
14.2,0.16,5.79,11528.0,524.0,192.0,39.7,1.5835164835164834,
13.3,0.21,3.5,19409.0,673.0,192.0,57.0,2.6660714285714286,
14.4,0.24,4.17,18428.0,656.0,192.0,50.58,2.531318681318681,
14.5,0.15,2.95,20884.0,706.0,190.0,57.9,2.9005555555555556,
14.1,0.29,4.18,13553.0,607.0,192.0,31.43,1.8616758241758242,
12.6,0.23,3.26,17860.0,642.0,133.0,69.42,3.630081300813008,
13.3,0.15,4.71,14297.0,542.0,134.0,58.9,2.8824596774193547,
13.6,0.11,4.8,14338.0,537.0,133.0,44.32,2.9142276422764226,
13.1,0.16,3.34,17886.0,610.0,134.0,76.41,3.606048387096774,
14.4,0.3,3.32,17160.0,572.0,134.0,63.44,3.4596774193548385,
12.8,0.22,1.98,19151.0,585.0,135.0,69.31,3.8302,
12.7,0.24,3.64,20519.0,678.0,133.0,88.35,4.170528455284553,
13.8,0.16,2.94,19914.0,634.0,134.0,64.82,4.014919354838709,
14.2,0.14,3.35,19464.0,642.0,134.0,58.65,3.924193548387097,
12.0,0.08,2.36,18347.0,637.0,134.0,75.45,3.698991935483871,
11.9,0.2,5.11,16239.0,577.0,134.0,60.05,3.273991935483871,
13.6,0.24,2.82,17120.0,580.0,134.0,45.25,3.4516129032258065,
13.0,0.26,4.47,16519.0,593.0,133.0,66.16,3.357520325203252,
12.8,0.29,1.66,18819.0,659.0,133.0,51.34,3.825,
13.5,0.17,2.63,17802.0,636.0,133.0,57.67,3.618292682926829,
13.6,0.32,4.64,15637.0,572.0,134.0,52.44,3.1526209677419357,
14.0,0.11,3.35,13189.0,690.0,134.0,65.44,2.6590725806451614,
12.7,0.0,4.5,18121.0,606.0,133.0,64.92,3.683130081300813,
14.0,0.29,4.29,14716.0,553.0,134.0,46.88,2.9669354838709676,
13.6,0.32,3.34,16252.0,624.0,134.0,52.63,3.2766129032258067,
13.7,0.29,4.23,15005.0,539.0,134.0,57.12,3.025201612903226,
13.8,0.35,2.88,20092.0,657.0,132.0,63.18,4.117213114754098,
13.1,0.15,2.89,20130.0,656.0,134.0,71.53,4.058467741935484,
13.3,0.35,4.55,14903.0,539.0,133.0,43.45,3.0290650406504067,
13.4,0.3,3.31,15684.0,580.0,134.0,44.39,3.1620967741935484,
11.8,0.36,4.55,13738.0,576.0,134.0,39.11,2.769758064516129,
11.0,0.28,3.83,18110.0,596.0,133.0,61.44,3.680894308943089,
12.8,0.24,3.66,15998.0,624.0,134.0,33.38,3.225403225806452,
13.0,0.08,3.83,17176.0,592.0,134.0,57.76,3.4629032258064516,
12.6,0.4,4.1,17531.0,632.0,134.0,60.53,3.534475806451613,
14.0,0.21,2.16,20040.0,651.0,134.0,49.48,4.040322580645161,
12.9,0.05,2.66,18262.0,636.0,134.0,86.46,3.6818548387096772,
12.5,0.08,2.46,18309.0,603.0,134.0,51.1,3.6913306451612904,
14.0,0.09,2.37,18193.0,624.0,134.0,82.79,3.667943548387097,
13.3,0.33,2.33,16992.0,617.0,133.0,30.63,3.453658536585366,
13.1,0.11,2.67,18909.0,667.0,134.0,75.72,3.8122983870967744,
12.8,0.06,2.51,19259.0,599.0,132.0,74.33,3.946516393442623,
12.5,0.06,3.21,16769.0,605.0,133.0,52.47,3.408333333333333,
13.5,0.29,4.87,14539.0,543.0,134.0,36.01,2.93125,
11.8,0.12,2.26,18605.0,594.0,133.0,80.97,3.7815040650406506,
13.0,0.34,2.54,16645.0,632.0,132.0,30.14,3.410860655737705,
13.8,0.15,2.52,20190.0,660.0,133.0,61.46,4.103658536585366,
12.4,0.1,2.87,18680.0,603.0,133.0,79.53,3.796747967479675,
13.2,0.16,4.83,14596.0,565.0,136.0,47.43,2.896031746031746,
13.0,0.09,3.42,17012.0,640.0,136.0,68.75,3.3753968253968254,
13.5,0.14,3.82,15838.0,605.0,136.0,69.19,3.1424603174603174,
13.2,0.4,5.25,13135.0,565.0,137.0,48.34,2.5856299212598426,
13.6,0.38,3.51,12950.0,575.0,137.0,49.44,2.5492125984251968,
14.0,0.3,4.15,13794.0,622.0,137.0,48.32,2.7153543307086614,
13.7,0.14,5.54,12733.0,544.0,137.0,61.49,2.506496062992126,
13.4,0.32,5.58,12322.0,532.0,137.0,36.16,2.4255905511811022,
12.8,0.25,4.27,12366.0,523.0,137.0,42.83,2.434251968503937,
13.4,0.36,4.4,12265.0,508.0,137.0,30.71,2.4143700787401574,
12.7,0.43,4.67,11848.0,541.0,137.0,19.34,2.3322834645669293,
13.3,0.15,4.71,12271.0,498.0,137.0,53.6,2.415551181102362,
13.4,0.42,4.67,12725.0,536.0,137.0,21.77,2.50492125984252,
12.5,0.26,4.45,11012.0,625.0,137.0,21.87,2.1677165354330707,
13.9,0.41,5.13,13310.0,522.0,137.0,44.09,2.62007874015748,
14.1,0.34,4.61,12646.0,550.0,137.0,46.17,2.4893700787401576,
13.8,0.27,4.77,11584.0,534.0,137.0,41.86,2.280314960629921,
13.2,0.44,4.75,10305.0,485.0,137.0,34.42,2.0285433070866143,
13.6,0.21,5.17,12855.0,602.0,137.0,49.37,2.530511811023622,
14.5,0.13,5.22,12202.0,545.0,137.0,54.82,2.401968503937008,
13.4,0.35,3.96,14163.0,613.0,136.0,24.92,2.8101190476190476,
14.5,0.28,6.13,11568.0,559.0,137.0,41.16,2.277165354330709,
13.9,0.26,5.64,11267.0,563.0,137.0,23.08,2.2179133858267717,
12.9,0.26,4.4,12143.0,559.0,137.0,34.97,2.390354330708661,
13.9,0.44,4.5,13831.0,581.0,136.0,15.66,2.7442460317460315,
14.1,0.25,3.65,13987.0,546.0,137.0,61.47,2.7533464566929133,
14.1,0.24,3.87,15014.0,599.0,137.0,42.56,2.955511811023622,
14.5,0.41,6.05,10785.0,593.0,137.0,16.33,2.123031496062992,
12.9,0.28,4.16,11185.0,574.0,137.0,37.77,2.201771653543307,
12.6,0.2,6.0,9406.0,509.0,137.0,36.77,1.8515748031496062,
13.3,0.12,3.22,12947.0,591.0,137.0,32.52,2.5486220472440944,
13.5,0.22,3.04,16032.0,626.0,137.0,48.7,3.1559055118110235,
13.4,0.43,5.0,12956.0,540.0,137.0,47.52,2.5503937007874016,
14.7,0.24,4.54,14016.0,639.0,137.0,53.92,2.7590551181102363,
12.1,0.45,4.59,11526.0,538.0,136.0,40.92,2.2869047619047618,
13.6,0.24,3.1,11894.0,565.0,172.0,54.36,1.835493827160494,
14.7,0.22,2.32,11988.0,533.0,172.0,44.12,1.85,
13.9,0.13,6.69,10493.0,526.0,172.0,22.73,1.61929012345679,
14.2,0.24,3.24,11181.0,540.0,173.0,46.57,1.714877300613497,
13.9,0.49,6.41,10072.0,468.0,171.0,25.76,1.5639751552795031,
13.5,0.25,4.3,12862.0,547.0,172.0,51.34,1.9848765432098765,
13.5,0.49,5.61,11007.0,526.0,172.0,31.15,1.698611111111111,
14.4,0.04,3.83,13830.0,586.0,172.0,74.24,2.134259259259259,
13.1,0.23,6.44,9877.0,471.0,172.0,28.32,1.5242283950617284,
14.6,0.26,3.78,13268.0,599.0,173.0,49.15,2.0349693251533743,
15.3,0.29,5.0,12437.0,552.0,172.0,41.1,1.91929012345679,
13.6,0.36,3.5,16104.0,603.0,172.0,20.36,2.4851851851851854,
15.2,0.18,3.87,13746.0,604.0,173.0,48.34,2.108282208588957,
