YGSVRK SUOYZAXK QTUZ_XGZOU ZXKKXOTM K JKTYOZE HKGSNKOMNZ HKTJOTM_YZXKTMZN
ATOZY % - SS T/SS2 QM/S3 IS T/SS2
JU121 14.5 0.28 5.42 12263 545 193 23.94
JU122 14.7 0.19 3.41 21654 716 193 75.49
JU123 14 0.31 4.5 11813 529 193 25.6
JU124 15.3 0.24 4.4 14934 602 193 47.46
JU125 16 0.24 4.08 15754 621 193 43.08
JU126 15 0.33 3.78 16232 652 193 44.37
JU127 14.7 0.43 3.93 13977 675 192 42.47
JU128 15.3 0.39 3.02 16219 656 192 37.95
JU129 15.2 0.14 3.29 16604 623 192 34.73
JU130 15.1 0.11 3.07 17458 633 193 65.25
JU131 14.4 0.2 3.67 18451 695 192 57.06
JU132 13 0.36 3.45 12456 553 193 36.06
JU133 14 0.29 2.72 12797 478 193 36.76
JU134 14.2 0.16 5.79 11528 524 192 39.7
JU135 13.3 0.21 3.5 19409 673 192 57
JU136 14.4 0.24 4.17 18428 656 192 50.58
JU137 14.5 0.15 2.95 20884 706 190 57.9
JU138 14.1 0.29 4.18 13553 607 192 31.43
JU139 12.6 0.23 3.26 17860 642 133 69.42
JU140 13.3 0.15 4.71 14297 542 134 58.9
JU141 13.6 0.11 4.8 14338 537 133 44.32
JU142 13.1 0.16 3.34 17886 610 134 76.41
JU143 14.4 0.3 3.32 17160 572 134 63.44
JU144 12.8 0.22 1.98 19151 585 135 69.31
JU145 12.7 0.24 3.64 20519 678 133 88.35
JU146 13.8 0.16 2.94 19914 634 134 64.82
JU147 14.2 0.14 3.35 19464 642 134 58.65
JU148 12 0.08 2.36 18347 637 134 75.45
JU149 11.9 0.2 5.11 16239 577 134 60.05
JU150 13.6 0.24 2.82 17120 580 134 45.25
JU151 13 0.26 4.47 16519 593 133 66.16
JU152 12.8 0.29 1.66 18819 659 133 51.34
JU153 13.5 0.17 2.63 17802 636 133 57.67
JU154 13.6 0.32 4.64 15637 572 134 52.44
JU155 14 0.11 3.35 13189 690 134 65.44
JU156 12.7 0 4.5 18121 606 133 64.92
JU157 14 0.29 4.29 14716 553 134 46.88
JU158 13.6 0.32 3.34 16252 624 134 52.63
JU159 13.7 0.29 4.23 15005 539 134 57.12
JU160 13.8 0.35 2.88 20092 657 132 63.18
JU161 13.1 0.15 2.89 20130 656 134 71.53
JU162 13.3 0.35 4.55 14903 539 133 43.45
JU163 13.4 0.3 3.31 15684 580 134 44.39
JU164 11.8 0.36 4.55 13738 576 134 39.11
JU165 11 0.28 3.83 18110 596 133 61.44
JU166 12.8 0.24 3.66 15998 624 134 33.38
JU167 13 0.08 3.83 17176 592 134 57.76
JU168 12.6 0.4 4.1 17531 632 134 60.53
JU169 14 0.21 2.16 20040 651 134 49.48
JU170 12.9 0.05 2.66 18262 636 134 86.46
JU172 12.5 0.08 2.46 18309 603 134 51.1
JU173 14 0.09 2.37 18193 624 134 82.79
JU174 13.3 0.33 2.33 16992 617 133 30.63
JU175 13.1 0.11 2.67 18909 667 134 75.72
JU176 12.8 0.06 2.51 19259 599 132 74.33
JU177 12.5 0.06 3.21 16769 605 133 52.47
JU178 13.5 0.29 4.87 14539 543 134 36.01
JU179 11.8 0.12 2.26 18605 594 133 80.97
JU180 13 0.34 2.54 16645 632 132 30.14
JU181 13.8 0.15 2.52 20190 660 133 61.46
JU182 12.4 0.1 2.87 18680 603 133 79.53
JU183 13.2 0.16 4.83 14596 565 136 47.43
JU184 13 0.09 3.42 17012 640 136 68.75
JU185 13.5 0.14 3.82 15838 605 136 69.19
JU186 13.2 0.4 5.25 13135 565 137 48.34
JU187 13.6 0.38 3.51 12950 575 137 49.44
JU188 14 0.3 4.15 13794 622 137 48.32
JU189 13.7 0.14 5.54 12733 544 137 61.49
JU190 13.4 0.32 5.58 12322 532 137 36.16
JU191 12.8 0.25 4.27 12366 523 137 42.83
JU192 13.4 0.36 4.4 12265 508 137 30.71
JU193 12.7 0.43 4.67 11848 541 137 19.34
JU194 13.3 0.15 4.71 12271 498 137 53.6
JU195 13.4 0.42 4.67 12725 536 137 21.77
JU196 12.5 0.26 4.45 11012 625 137 21.87
JU197 13.9 0.41 5.13 13310 522 137 44.09
JU198 14.1 0.34 4.61 12646 550 137 46.17
JU199 13.8 0.27 4.77 11584 534 137 41.86
JU200 13.2 0.44 4.75 10305 485 137 34.42
JU201 13.6 0.21 5.17 12855 602 137 49.37
JU202 14.5 0.13 5.22 12202 545 137 54.82
JU203 13.4 0.35 3.96 14163 613 136 24.92
JU204 14.5 0.28 6.13 11568 559 137 41.16
JU205 13.9 0.26 5.64 11267 563 137 23.08
JU206 12.9 0.26 4.4 12143 559 137 34.97
JU207 13.9 0.44 4.5 13831 581 136 15.66
JU208 14.1 0.25 3.65 13987 546 137 61.47
JU209 14.1 0.24 3.87 15014 599 137 42.56
JU210 14.5 0.41 6.05 10785 593 137 16.33
JU211 12.9 0.28 4.16 11185 574 137 37.77
JU212 12.6 0.2 6 9406 509 137 36.77
JU213 13.3 0.12 3.22 12947 591 137 32.52
JU214 13.5 0.22 3.04 16032 626 137 48.7
JU215 13.4 0.43 5 12956 540 137 47.52
JU216 14.7 0.24 4.54 14016 639 137 53.92
JU217 12.1 0.45 4.59 11526 538 136 40.92
JU218 13.6 0.24 3.1 11894 565 172 54.36
JU219 14.7 0.22 2.32 11988 533 172 44.12
JU220 13.9 0.13 6.69 10493 526 172 22.73
JU221 14.2 0.24 3.24 11181 540 173 46.57
JU222 13.9 0.49 6.41 10072 468 171 25.76
JU223 13.5 0.25 4.3 12862 547 172 51.34
JU224 13.5 0.49 5.61 11007 526 172 31.15
JU225 14.4 0.04 3.83 13830 586 172 74.24
JU226 13.1 0.23 6.44 9877 471 172 28.32
JU227 14.6 0.26 3.78 13268 599 173 49.15
JU228 15.3 0.29 5 12437 552 172 41.1
JU229 13.6 0.36 3.5 16104 603 172 20.36
JU230 15.2 0.18 3.87 13746 604 173 48.34
JU231 14.7 0.24 4.85 13040 617 171 62.04
JU232 16 0.18 7.07 10831 583 172 40.92
JU233 14.5 0.27 8.36 9021 509 172 31.24
JU234 15 0.37 3.04 13848 619 172 52.21
JU235 14.8 0.24 7 8607 503 172 23.8
JU236 14.6 0.45 6.92 11269 506 171 31.82
JU237 13.6 0.34 6.07 9323 589 171 26.3
JU238 14.6 0.49 5 11680 509 171 40.45
JU239 14.9 0.29 5.11 11313 566 175 41.63
JU240 14.8 0.24 4.33 12076 614 171 35.42
JU241 13.4 0.25 4.5 11485 544 171 37.6
JU242 14.2 0.1 3.15 11603 567 168 51.95
JU243 13.9 0.21 6.5 11355 483 167 38.39
JU244 14.4 0.23 3.54 13522 599 166 59.75
JU245 15.5 0.04 2.85 14244 585 167 63.53
JU246 13.8 0.25 2.48 14385 543 167 49.7
JU247 12.8 0.18 5.25 11334 530 161 43.74
JU248 14.9 0.27 4.05 14026 513 167 54.35
JU249 13.1 0.11 3.03 12439 538 167 56.11
JU250 12.9 0.33 5.79 11121 483 167 30.98
JU251 13.1 0.37 4.3 11460 562 167 22.45
JU252 13.5 0.2 3.81 13062 552 161 52.35
JU253 12.3 0.2 3.93 10618 546 167 42.1
JU254 14.2 0.54 4.89 13552 595 167 43.5
JU255 14.5 0.49 4.74 10799 571 167 22.22
JU256 13.2 0.19 3.87 12579 599 167 53.65
JU257 13.9 0.21 2.7 11226 516 167 48.35
JU258 12.9 0.32 5.43 12004 494 167 43.65
JU259 14.6 0.21 3.7 8690 511 168 41.83
JU260 14.1 0.23 4.63 9759 454 167 32.47
JU261 14.5 0.07 1.96 21781 743 167 91.8
JU262 13.5 0.21 4.11 12553 470 166 31.28
